"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,10,0,0,0,72,0,100,0
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,106,NA,NA,NA,NA,NA,NA,NA,200,0,150,580,150,0,0
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,110,NA,NA,NA,0,NA,NA,0,NA,NA,50,0,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,406,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,0,0,0,0
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,600,168,NA,42,0,1755,0,NA,0,NA,NA,90,0,0,200,215
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,19,NA,NA,NA,NA,0,NA,0,NA,40,100,0,17,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,NA,NA,NA,NA,NA,NA,0,NA,0,100,0,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,70,NA,NA,NA,NA,0,NA,180,NA,0,289,0,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,45,NA,NA,NA,NA,NA,NA,NA,NA,0,125,0,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,120,60,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,152,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0
